id_atleta,sexo,edad,disciplina,subdisciplina,posicion,nivel,estatura_cm,masa_corporal_kg,imc,pct_grasa,masa_grasa_kg,masa_libre_grasa_kg,masa_muscular_kg,cintura_cm,cadera_cm,envergadura_cm,muslo_cm,brazo_contraido_cm,suma_6_pliegues,sprint_10m_s,sprint_20m_s,sprint_30m_s,salto_vertical_cm,salto_horizontal_cm,handgrip_kg,sentadilla_1rm_kg,press_banca_1rm_kg,vo2max_estimado_ml_kg_min,beep_test_nivel,cooper_12min_m,yoyo_ir1_m,t_test_s,illinois_s,rsa_6x30m_promedio_s,rsa_6x30m_fatiga_pct,sit_and_reach_cm
ATH-2951,M,29,Atletismo,Velocidad,100m,Intermedio,177.18,83.88,26.72,10.16,8.52,75.36,40.48,92.56,92.84,181.65,58.34,40.34,27.7,1.566,2.744,3.938,55.62,101.01,52.24,178.4,110.85,37.01,8.56,1800.0,687.88,10.884,16.0,9.432,8.69,25.97
ATH-2952,M,18,Atletismo,Velocidad,100m,Amateur,177.73,83.95,26.58,11.75,9.86,74.09,48.39,94.42,101.56,184.08,51.97,38.32,37.26,1.355,2.679,3.97,40.58,72.96,55.2,165.6,95.96,39.07,8.85,1800.0,821.66,11.089,17.949,9.144,7.89,22.41
ATH-2953,M,21,Atletismo,Velocidad,100m,Amateur,175.44,75.72,24.6,13.47,10.2,65.52,30.49,88.7,98.54,175.6,58.19,33.43,40.41,1.666,3.332,4.892,34.19,61.25,47.84,134.23,112.74,33.12,7.39,1800.0,600.0,11.339,18.488,8.32,10.91,20.05
ATH-2954,M,25,Atletismo,Velocidad,400m,Intermedio,185.5,83.23,24.19,12.13,10.1,73.13,44.61,91.33,98.62,186.26,48.38,38.71,36.11,1.433,2.474,3.719,35.25,37.55,53.88,153.97,95.36,32.0,6.77,1800.0,636.86,12.513,20.659,7.728,3.94,14.82
ATH-2955,M,18,Atletismo,Velocidad,100m,Élite,184.42,90.84,26.71,10.28,9.34,81.5,50.86,88.93,97.11,188.91,55.08,37.94,28.49,1.44,2.741,3.709,52.78,77.34,52.03,173.92,92.28,37.56,9.32,1800.0,742.96,11.689,19.602,7.891,8.52,24.15
ATH-2956,M,23,Atletismo,Velocidad,200m,Élite,186.48,85.21,24.5,10.4,8.86,76.35,48.11,88.49,100.41,201.31,55.35,35.94,31.35,1.381,2.543,3.89,46.17,82.77,53.72,163.61,125.14,42.48,10.32,1800.0,884.47,11.475,18.573,7.627,10.43,20.27
ATH-2957,M,22,Atletismo,Velocidad,400m,Élite,179.36,79.21,24.62,10.25,8.12,71.09,40.61,84.2,97.99,178.92,58.55,33.87,29.35,1.549,2.897,4.25,50.3,110.45,53.37,151.86,127.9,36.46,9.47,1800.0,606.14,11.244,18.224,8.66,4.45,21.02
ATH-2958,M,22,Atletismo,Velocidad,400m,Intermedio,184.13,86.08,25.39,14.71,12.66,73.42,41.37,85.49,102.12,194.07,58.12,33.4,37.55,1.622,3.214,4.728,41.88,88.09,54.84,142.94,130.61,34.24,7.64,1800.0,764.26,11.781,19.995,9.807,6.99,22.73
ATH-2959,M,23,Atletismo,Velocidad,100m,Intermedio,177.89,72.97,23.06,12.04,8.78,64.19,42.01,86.14,99.65,182.08,58.74,35.22,38.24,1.503,2.501,3.877,34.59,61.97,47.98,153.79,91.18,32.0,6.01,1800.0,615.69,11.642,17.046,7.72,5.33,25.75
ATH-2960,F,25,Atletismo,Velocidad,400m,Amateur,183.83,84.63,25.04,7.4,6.27,78.37,39.55,90.53,101.82,184.21,54.92,36.07,20.36,1.617,2.881,4.097,42.88,52.8,42.81,132.38,117.49,43.98,10.64,1907.22,906.24,10.944,16.576,7.353,6.73,21.31
ATH-2961,F,19,Atletismo,Velocidad,200m,Élite,190.42,71.01,19.58,9.62,6.83,64.17,35.72,86.21,95.01,191.07,58.14,41.49,24.28,1.652,3.233,4.785,34.23,46.64,51.98,162.86,111.39,43.34,10.59,1800.0,973.86,11.188,19.135,10.342,4.67,12.25
ATH-2962,M,26,Atletismo,Velocidad,100m,Intermedio,181.23,76.1,23.17,8.12,6.18,69.93,37.76,89.97,96.94,192.4,52.18,35.93,25.57,1.589,2.735,4.107,40.11,71.97,55.15,174.22,125.43,44.45,11.0,1918.15,890.97,11.824,18.78,9.103,6.82,26.28
ATH-2963,M,22,Atletismo,Velocidad,200m,Élite,179.4,78.54,24.4,12.78,10.04,68.5,42.31,89.46,105.37,183.28,50.46,41.98,36.29,1.519,2.747,3.457,28.3,65.71,61.51,155.94,95.4,39.56,9.94,1800.0,832.0,11.608,17.419,10.098,6.38,25.5
ATH-2964,F,29,Atletismo,Velocidad,200m,Intermedio,181.18,77.22,23.52,5.86,4.52,72.69,42.19,86.68,98.58,186.53,60.97,36.3,13.68,1.532,2.902,4.032,48.95,109.15,52.16,160.83,94.94,43.31,10.55,1800.0,945.02,10.846,17.825,7.902,3.41,26.19
ATH-2965,M,27,Atletismo,Velocidad,400m,Amateur,184.11,85.83,25.32,8.58,7.37,78.46,40.7,86.79,103.93,194.19,57.14,36.1,24.29,1.578,2.887,4.328,47.31,75.46,52.7,146.92,101.23,42.44,9.63,1841.39,850.04,11.231,18.524,9.58,7.72,19.55
ATH-2966,M,23,Atletismo,Velocidad,200m,Intermedio,185.89,79.01,22.87,8.83,6.98,72.04,39.38,88.48,100.63,191.98,51.77,37.27,30.84,1.388,2.636,3.796,42.87,73.93,49.45,147.57,102.53,37.68,9.14,1800.0,697.11,11.566,19.707,10.002,6.37,21.41
OUT-1096,M,27,Atletismo,Velocidad,400m,Élite,175.01,106.67,25.31,4.76,4.08,48.81,43.47,96.9,97.5,213.48,61.45,28.17,42.37,2.289,2.496,4.6,45.15,75.28,52.21,133.64,154.49,40.65,7.96,1967.18,2021.77,13.058,16.726,5.037,9.01,25.03
OUT-431,F,19,Atletismo,Velocidad,400m,Amateur,185.34,103.58,19.28,10.77,9.6,86.17,58.35,98.34,89.27,214.62,63.46,44.87,41.35,2.071,3.174,6.568,49.92,95.58,35.96,163.47,107.43,64.8,10.98,2522.5,1718.79,12.836,20.41,14.36,8.18,35.55
ATH-2969,M,19,Atletismo,Velocidad,400m,Amateur,187.65,80.54,22.87,9.28,7.47,73.07,38.12,89.27,97.53,190.91,57.34,38.33,26.38,1.621,2.939,4.438,44.28,53.24,55.2,150.67,114.71,50.0,11.92,1957.64,1212.74,10.026,15.416,7.777,5.18,20.25
ATH-2970,M,29,Atletismo,Velocidad,100m,Amateur,180.04,82.94,25.59,12.55,10.41,72.53,47.18,90.16,98.36,183.26,54.53,38.14,26.27,1.546,3.037,4.447,36.71,61.77,58.71,163.74,114.55,39.37,8.34,1800.0,669.95,11.756,18.57,11.346,5.25,18.87
ATH-2971,M,22,Atletismo,Velocidad,400m,Intermedio,182.7,79.15,23.71,10.74,8.5,70.65,41.76,86.91,104.22,192.74,54.88,34.47,34.06,1.471,2.979,4.142,43.84,82.17,60.66,157.79,102.08,35.63,8.8,1800.0,750.49,11.132,18.699,10.792,7.07,27.29
ATH-2972,F,27,Atletismo,Velocidad,200m,Intermedio,180.93,86.75,26.5,11.17,9.69,77.06,46.56,87.8,103.22,187.79,55.76,33.51,35.9,1.567,2.767,3.941,46.66,101.15,58.48,175.93,96.41,41.11,9.42,1800.0,837.43,11.205,19.203,10.9,9.85,24.05
ATH-2973,F,22,Atletismo,Velocidad,400m,Amateur,181.56,83.61,25.36,12.38,10.35,73.25,43.42,91.19,104.2,187.29,59.46,36.27,29.65,1.613,2.87,3.835,42.34,91.72,52.94,162.96,91.13,43.21,10.01,1800.0,1006.35,11.586,19.433,10.726,6.89,23.08
ATH-2974,M,26,Atletismo,Velocidad,400m,Intermedio,183.84,80.47,23.81,11.92,9.59,70.88,43.31,81.39,107.18,183.27,59.9,34.79,33.07,1.644,3.133,4.36,40.67,74.06,48.05,157.16,85.78,39.14,9.06,1800.0,832.4,11.252,18.456,10.208,5.03,25.09
ATH-2975,M,22,Atletismo,Velocidad,400m,Amateur,183.76,86.71,25.68,5.61,4.86,81.85,40.89,82.26,98.57,192.24,54.25,36.5,12.79,1.401,2.743,3.83,54.3,88.82,57.4,173.43,97.11,45.31,11.56,2026.11,951.29,11.278,18.623,9.716,1.68,29.2
ATH-2976,F,18,Atletismo,Velocidad,200m,Élite,179.73,93.66,29.0,10.07,9.43,84.23,53.9,92.96,104.27,193.08,51.95,37.58,32.92,1.56,2.966,4.628,48.66,80.38,58.15,156.88,101.91,36.64,9.51,1800.0,855.57,11.896,18.688,11.861,4.78,22.63
ATH-2977,M,27,Atletismo,Velocidad,400m,Intermedio,186.53,82.03,23.58,9.97,8.18,73.85,46.66,91.13,96.24,194.11,53.62,33.96,32.64,1.545,2.862,4.439,47.75,79.82,56.15,175.87,115.62,42.75,10.62,1800.0,880.84,11.701,18.409,8.598,6.42,24.43
ATH-2978,F,29,Atletismo,Velocidad,200m,Amateur,180.31,72.46,22.29,6.68,4.84,67.62,40.59,85.28,102.73,184.4,57.14,34.77,10.85,1.535,2.883,4.345,51.46,88.75,56.97,146.42,95.08,47.17,11.81,1927.64,1010.13,10.549,15.704,8.088,6.65,19.41
ATH-2979,M,18,Atletismo,Velocidad,200m,Élite,180.64,81.38,24.94,13.75,11.19,70.2,46.16,92.73,96.87,188.3,52.04,31.6,44.69,1.509,2.829,4.216,45.8,84.05,52.54,142.61,99.46,38.74,7.92,1800.0,816.43,11.267,18.18,8.909,4.19,22.43
ATH-2980,F,24,Atletismo,Velocidad,100m,Intermedio,186.3,89.54,25.8,7.04,6.31,83.23,45.07,87.55,97.51,196.56,61.78,31.14,18.5,1.484,2.752,3.673,46.3,88.6,50.67,160.49,93.06,37.53,7.92,1800.0,773.79,11.763,19.255,8.271,2.92,21.73
ATH-2981,M,23,Atletismo,Velocidad,100m,Amateur,185.53,80.03,23.25,8.78,7.03,73.0,39.73,86.2,97.4,185.62,50.31,37.49,18.88,1.424,2.584,3.39,50.33,93.83,53.85,151.42,84.97,40.73,10.35,1800.0,901.17,11.132,17.482,8.969,6.11,23.28
ATH-2982,F,27,Atletismo,Velocidad,100m,Élite,182.83,82.56,24.7,9.58,7.91,74.65,42.92,88.8,102.02,184.3,52.41,34.19,27.24,1.546,3.018,4.562,44.79,71.75,58.18,178.57,95.67,41.56,9.75,1800.0,815.89,11.051,17.787,8.678,1.59,25.62
ATH-2983,M,26,Atletismo,Velocidad,200m,Intermedio,182.62,74.91,22.46,12.22,9.15,65.76,36.27,86.71,98.72,186.06,50.02,40.64,34.85,1.635,3.04,3.995,44.86,105.53,47.47,152.61,105.31,44.36,11.13,1858.28,910.5,10.783,16.053,11.808,7.55,10.25
ATH-2984,M,25,Atletismo,Velocidad,100m,Élite,181.06,84.45,25.76,9.3,7.86,76.59,44.73,87.03,99.27,187.79,56.45,33.74,24.48,1.412,2.599,3.788,48.24,70.9,49.05,173.61,93.96,44.17,11.69,1800.0,887.29,10.74,16.57,6.873,8.3,25.12
ATH-2985,M,18,Atletismo,Velocidad,400m,Intermedio,181.54,77.56,23.53,7.9,6.13,71.43,44.67,85.63,98.65,183.7,53.04,36.24,25.27,1.428,2.651,3.587,46.97,50.25,52.25,138.08,98.87,34.6,8.85,1800.0,612.33,10.244,17.296,8.985,5.18,17.91
ATH-2986,M,26,Atletismo,Velocidad,100m,Amateur,178.32,87.6,27.55,13.79,12.08,75.51,44.78,91.09,102.11,184.05,56.48,37.17,37.26,1.556,2.824,4.162,38.91,100.65,44.32,146.92,114.09,45.2,10.3,1819.58,954.68,11.616,20.09,10.787,8.32,18.21
ATH-2987,M,23,Atletismo,Velocidad,100m,Intermedio,199.58,78.55,19.72,10.8,8.49,70.07,41.51,88.74,100.79,196.56,56.53,39.45,26.42,1.641,2.939,4.267,36.84,84.61,48.83,168.28,117.8,38.06,9.13,1800.0,794.03,10.968,17.074,9.11,4.63,22.36
ATH-2988,F,21,Atletismo,Velocidad,100m,Intermedio,186.44,73.7,21.2,6.48,4.78,68.92,36.9,85.21,96.37,192.04,56.59,35.63,23.88,1.515,2.724,4.055,46.29,122.83,50.14,170.4,82.77,43.63,9.51,1890.71,1021.71,10.443,16.966,8.536,6.26,15.37
ATH-2989,M,25,Atletismo,Velocidad,100m,Profesional,179.66,83.62,25.91,10.32,8.63,75.0,43.28,88.84,102.59,188.24,51.76,34.21,27.16,1.518,2.936,4.02,36.44,87.14,57.36,167.61,97.79,36.19,8.58,1800.0,799.07,12.385,19.069,8.571,6.89,24.79
ATH-2990,M,22,Atletismo,Velocidad,400m,Élite,184.79,79.55,23.3,11.72,9.32,70.23,40.34,86.68,99.69,190.98,54.26,39.15,34.71,1.528,2.841,4.066,38.87,103.44,50.92,153.61,133.72,38.5,9.03,1800.0,808.08,11.597,16.702,9.081,6.24,27.16
ATH-2991,M,28,Atletismo,Velocidad,400m,Intermedio,171.86,74.89,25.36,10.83,8.11,66.78,37.95,86.77,99.77,181.6,59.91,34.69,30.17,1.574,3.032,4.187,40.49,66.57,48.01,150.72,95.73,42.54,11.21,1800.0,809.92,10.797,17.474,11.809,7.25,24.15
ATH-2992,M,23,Atletismo,Velocidad,200m,Amateur,179.35,86.15,26.78,11.58,9.97,76.18,47.61,89.51,104.9,184.24,52.87,40.29,34.37,1.44,2.827,4.138,38.07,58.91,57.78,170.25,106.49,41.5,9.46,1800.0,846.8,11.712,18.338,9.972,9.3,24.56
ATH-2993,M,27,Atletismo,Velocidad,100m,Intermedio,190.05,80.7,22.34,10.91,8.81,71.9,42.82,92.17,100.76,198.18,53.36,36.87,29.2,1.505,2.66,4.045,35.59,56.57,50.86,147.47,98.3,38.9,8.83,1800.0,806.82,11.133,17.83,9.979,5.25,18.6
ATH-2994,M,27,Atletismo,Velocidad,200m,Intermedio,194.51,87.4,23.1,8.3,7.25,80.15,43.27,86.2,96.8,200.3,54.8,36.34,25.08,1.562,2.857,4.427,46.21,71.33,59.06,156.4,102.49,50.01,12.43,2058.8,1196.15,11.282,18.617,11.832,2.52,19.1
ATH-2995,F,25,Atletismo,Velocidad,400m,Intermedio,178.58,79.36,24.88,5.93,4.7,74.65,43.31,86.45,97.47,190.47,56.45,40.83,16.93,1.534,3.063,3.999,42.17,66.06,56.8,159.44,87.21,43.73,10.05,1800.0,932.3,11.421,17.803,6.357,3.1,19.42
ATH-2996,M,18,Atletismo,Velocidad,200m,Intermedio,185.05,80.34,23.46,13.1,10.52,69.82,43.11,90.86,105.71,189.7,53.49,36.53,39.56,1.517,2.821,4.299,30.36,37.35,53.69,175.76,87.58,35.4,7.3,1800.0,749.79,11.745,18.308,7.72,5.12,15.71
ATH-2997,F,22,Atletismo,Velocidad,100m,Amateur,178.91,84.51,26.4,9.69,8.19,76.33,45.26,89.68,97.17,176.11,56.32,36.31,29.17,1.417,2.68,4.227,48.17,81.91,46.41,147.55,117.86,40.97,10.75,1800.0,864.25,10.786,17.516,9.568,4.95,24.75
ATH-2998,M,19,Atletismo,Velocidad,400m,Intermedio,188.45,84.97,23.93,10.83,9.2,75.77,44.89,87.99,99.09,190.33,56.35,36.12,25.75,1.673,3.054,3.923,45.38,121.86,60.23,177.9,110.36,40.74,11.71,1800.0,854.58,11.218,18.77,9.377,3.55,22.07
ATH-2999,M,18,Atletismo,Velocidad,200m,Intermedio,173.15,76.88,25.64,9.57,7.36,69.52,37.98,85.25,103.25,181.25,57.58,38.63,26.17,1.424,2.885,4.041,43.92,58.1,50.55,146.52,89.49,38.31,9.67,1800.0,830.76,11.092,17.836,7.574,6.24,23.32
ATH-3000,M,18,Atletismo,Velocidad,100m,Profesional,184.24,81.61,24.04,9.29,7.58,74.03,45.71,89.38,99.52,192.91,58.04,39.97,24.13,1.549,2.799,3.851,46.29,102.43,57.83,157.13,102.56,45.81,11.42,1945.59,1046.31,10.711,17.297,12.579,6.33,27.41
ATH-3001,M,20,Atletismo,Velocidad,400m,Intermedio,174.4,95.64,31.44,12.4,11.86,83.78,44.71,93.18,102.61,178.1,50.55,37.31,41.08,1.587,2.889,4.086,44.4,78.0,59.68,161.22,98.91,39.84,9.41,1800.0,802.87,11.456,18.191,7.411,5.18,18.98
ATH-3002,M,23,Atletismo,Velocidad,200m,Amateur,181.49,90.74,27.55,9.61,8.72,82.02,47.23,90.24,98.44,181.94,56.74,38.46,34.02,1.426,2.675,4.125,43.39,69.34,55.82,155.18,79.38,42.97,10.53,1800.0,810.14,11.272,18.647,8.432,11.44,21.2
ATH-3003,M,24,Atletismo,Velocidad,200m,Intermedio,180.49,84.21,25.85,11.76,9.9,74.31,43.79,83.24,100.94,187.42,54.07,35.11,31.49,1.476,2.755,3.662,38.47,63.6,43.27,180.61,90.68,37.61,10.0,1800.0,733.34,11.459,18.516,8.692,10.32,20.26
ATH-3004,F,24,Atletismo,Velocidad,400m,Intermedio,182.61,93.27,27.97,6.17,5.75,87.52,52.91,90.28,96.61,186.03,51.96,37.16,17.63,1.35,2.431,3.258,63.88,85.64,59.07,174.73,100.89,44.11,10.94,1800.0,916.37,10.731,17.409,7.653,4.98,23.98
ATH-3005,F,26,Atletismo,Velocidad,100m,Élite,190.72,83.33,22.91,6.46,5.39,77.95,45.29,89.45,100.59,197.14,59.31,37.34,17.26,1.585,3.083,4.28,51.96,115.97,55.97,185.61,127.11,45.06,11.52,1842.3,920.6,10.511,15.797,10.245,8.82,25.93
ATH-3006,M,23,Atletismo,Velocidad,100m,Intermedio,185.51,78.16,22.71,8.18,6.39,71.77,41.29,85.11,101.29,190.54,51.4,34.84,23.46,1.545,3.007,4.816,42.25,69.93,50.43,144.12,105.45,40.36,8.92,1800.0,780.42,10.936,18.395,8.203,6.61,19.27
ATH-3007,F,21,Atletismo,Velocidad,100m,Élite,182.63,88.65,26.58,4.14,3.67,84.99,44.5,89.8,99.04,187.76,50.66,37.95,11.8,1.359,2.413,3.297,56.13,83.27,57.88,153.02,82.01,46.44,11.5,1943.27,996.85,10.471,17.475,7.483,9.31,15.81
ATH-3008,F,24,Atletismo,Velocidad,400m,Amateur,182.76,74.51,22.31,10.35,7.71,66.8,37.97,86.78,96.19,190.43,53.09,38.57,31.04,1.559,2.813,4.045,42.86,80.77,45.72,123.71,109.73,42.97,9.4,1800.0,852.58,11.355,19.077,8.419,5.54,15.52
ATH-3009,M,18,Atletismo,Velocidad,100m,Intermedio,183.48,77.57,23.04,7.21,5.6,71.98,44.4,89.87,102.41,181.64,54.84,39.36,21.48,1.354,2.449,3.304,46.56,96.14,56.44,147.35,109.47,40.4,9.5,1831.03,816.88,10.94,17.11,7.534,6.21,23.64
ATH-3010,F,22,Atletismo,Velocidad,100m,Intermedio,187.11,82.64,23.61,9.12,7.54,75.1,45.39,90.89,101.69,193.67,54.2,35.62,29.81,1.485,2.655,3.836,45.31,81.87,51.01,155.79,111.97,38.46,9.17,1800.0,833.87,10.379,16.753,8.446,9.26,18.95
ATH-3011,F,28,Atletismo,Velocidad,100m,Amateur,184.78,89.13,26.1,8.92,7.95,81.18,46.69,89.37,105.33,190.41,63.07,39.45,29.27,1.475,2.859,4.077,41.44,82.39,54.97,178.26,112.08,35.15,9.06,1800.0,675.17,11.752,17.008,8.436,3.28,22.03
ATH-3012,F,19,Atletismo,Velocidad,100m,Élite,190.31,88.25,24.37,8.39,7.4,80.85,49.62,93.02,97.32,199.62,54.87,36.98,19.86,1.35,2.469,3.505,47.12,64.57,60.47,140.62,120.47,36.17,8.04,1800.0,770.64,11.358,18.008,8.551,5.34,28.13
ATH-3013,F,22,Atletismo,Velocidad,400m,Élite,176.5,75.34,24.18,6.4,4.82,70.52,42.32,88.09,94.87,181.31,51.8,36.55,19.44,1.374,2.551,3.462,49.37,84.74,53.57,169.17,106.0,41.15,10.52,1800.0,915.02,11.23,17.653,7.342,6.57,31.16
ATH-3014,M,22,Atletismo,Velocidad,400m,Intermedio,181.45,76.98,23.38,11.19,8.62,68.36,45.63,90.2,99.08,188.47,57.37,34.33,30.55,1.583,2.88,4.293,48.53,67.41,49.18,144.1,78.03,37.28,8.74,1800.0,775.51,10.989,18.644,9.724,7.73,32.04
OUT-644,F,27,Atletismo,Velocidad,200m,Profesional,158.73,83.87,16.54,6.02,7.51,73.23,25.65,87.5,108.66,204.3,44.2,30.03,40.28,1.704,3.966,4.443,65.12,22.65,64.49,99.48,153.29,50.41,16.44,2875.94,1691.69,9.172,16.351,12.121,6.34,20.07
ATH-3016,F,23,Atletismo,Velocidad,200m,Élite,180.67,81.96,25.11,11.4,9.34,72.61,41.58,86.27,113.23,183.93,50.6,34.88,35.79,1.605,2.495,3.199,45.15,82.81,47.74,137.95,102.31,43.09,9.67,1801.69,989.05,11.264,17.513,12.721,5.51,19.87
ATH-3017,M,30,Atletismo,Velocidad,400m,Élite,182.15,83.04,25.03,9.29,7.71,75.33,42.27,94.76,98.28,186.37,58.91,35.77,27.31,1.587,3.354,4.678,46.41,74.75,46.4,160.98,121.73,34.87,7.92,1800.0,680.41,10.916,17.591,8.59,6.61,16.29
ATH-3018,M,25,Atletismo,Velocidad,100m,Intermedio,184.76,80.33,23.53,9.61,7.72,72.61,42.3,82.95,106.0,193.55,59.17,37.33,24.21,1.355,2.534,3.78,52.01,120.27,51.43,142.67,113.38,37.08,9.23,1800.0,677.8,10.839,17.359,10.732,7.49,27.21
ATH-3019,M,26,Atletismo,Velocidad,200m,Élite,176.45,79.14,25.42,6.77,5.36,73.78,40.78,86.97,97.21,178.66,51.72,37.88,16.03,1.475,2.741,4.083,47.53,80.86,51.01,176.85,98.48,37.84,9.42,1800.0,870.76,12.146,17.777,11.179,5.03,23.58
ATH-3020,M,22,Atletismo,Velocidad,200m,Profesional,168.63,78.4,27.57,9.38,7.35,71.05,41.36,86.81,97.92,174.68,62.39,31.27,29.08,1.606,2.746,3.985,47.71,92.99,53.37,153.54,113.4,35.95,9.85,1800.0,640.79,11.425,17.495,9.901,1.5,21.98
ATH-3021,F,18,Atletismo,Velocidad,100m,Élite,184.43,89.34,26.27,9.16,8.18,81.15,49.43,90.95,103.03,188.52,54.37,36.83,24.76,1.544,3.134,4.968,51.59,112.24,58.84,185.97,118.9,40.38,10.89,1800.0,808.39,11.655,20.356,8.072,6.37,16.47
ATH-3022,F,27,Atletismo,Velocidad,200m,Intermedio,177.44,78.02,24.78,10.62,8.29,69.73,44.96,90.54,98.54,182.83,51.54,38.47,32.48,1.506,2.627,3.626,40.94,60.41,49.67,124.5,101.99,48.56,12.74,2069.69,1054.14,10.902,17.192,12.154,6.78,19.47
ATH-3023,M,19,Atletismo,Velocidad,100m,Intermedio,174.93,74.69,24.41,7.87,5.88,68.82,41.33,85.68,96.94,180.93,56.64,35.98,20.73,1.35,2.794,4.045,43.38,90.6,51.95,157.66,103.71,44.35,10.03,1802.03,839.33,11.443,17.782,8.688,6.91,28.36
ATH-3024,M,30,Atletismo,Velocidad,100m,Intermedio,181.01,93.46,28.52,9.92,9.27,84.19,54.54,90.36,102.14,182.21,55.0,36.75,31.62,1.572,2.858,4.206,43.94,89.5,66.6,190.0,128.39,43.23,9.62,1800.0,911.48,11.468,19.119,10.105,5.67,15.46
ATH-3025,M,27,Atletismo,Velocidad,400m,Intermedio,192.24,81.9,22.16,9.24,7.57,74.33,40.94,82.75,100.39,203.69,53.22,38.37,27.7,1.535,2.962,4.631,39.93,75.59,48.98,142.34,80.24,37.66,7.93,1800.0,690.39,11.828,18.47,8.882,6.19,20.96
ATH-3026,F,20,Atletismo,Velocidad,400m,Élite,191.49,83.74,22.84,11.58,9.7,74.04,46.91,94.26,107.92,198.94,53.09,36.3,33.84,1.513,2.662,3.817,43.01,90.35,54.97,158.43,116.48,45.18,10.47,1905.98,921.34,11.833,18.857,9.706,6.84,19.93
ATH-3027,F,25,Atletismo,Velocidad,400m,Intermedio,181.04,78.09,23.83,13.63,10.64,67.45,38.93,88.41,94.77,186.15,52.53,31.91,38.9,1.647,3.281,4.541,39.51,58.57,53.17,134.93,91.12,38.19,8.56,1800.0,769.41,10.778,17.672,9.146,7.84,21.0
ATH-3028,F,21,Atletismo,Velocidad,200m,Intermedio,174.12,82.82,27.32,11.85,9.81,73.0,36.32,91.49,102.33,177.63,56.59,32.75,29.38,1.639,2.92,4.141,46.92,98.46,53.86,140.32,77.91,32.0,7.79,1800.0,651.76,10.872,17.055,7.976,8.79,16.13
ATH-3029,M,30,Atletismo,Velocidad,100m,Amateur,188.11,77.32,21.85,9.77,7.55,69.77,34.53,84.47,99.1,199.09,56.93,37.13,24.57,1.577,2.824,4.153,40.28,78.99,48.63,169.08,84.09,40.78,8.82,1800.0,808.15,10.806,18.126,9.701,7.42,25.67
ATH-3030,F,35,Atletismo,Velocidad,200m,Amateur,194.19,76.85,20.38,9.09,6.99,69.86,40.69,89.61,98.28,210.55,55.31,36.18,26.78,1.43,2.522,3.563,36.38,76.15,44.37,177.66,114.27,43.2,10.51,1800.0,928.55,11.677,19.259,9.547,6.55,20.77
ATH-3031,F,18,Atletismo,Velocidad,200m,Amateur,192.57,78.37,21.13,10.94,8.57,69.79,36.33,87.18,105.66,194.81,59.09,35.49,31.76,1.578,3.035,3.996,45.86,78.49,51.17,159.05,104.9,37.4,9.9,1800.0,797.52,10.683,16.74,10.319,7.38,24.33
ATH-3032,M,20,Atletismo,Velocidad,400m,Amateur,182.08,77.07,23.25,5.59,4.31,72.76,42.13,87.89,102.68,187.42,54.5,35.68,12.72,1.384,2.492,3.598,54.64,89.5,54.05,176.0,90.3,43.15,12.4,1800.0,923.95,10.632,16.596,7.322,3.92,19.3
ATH-3033,F,27,Atletismo,Velocidad,200m,Amateur,185.29,87.81,25.58,8.81,7.73,80.07,47.02,86.77,107.06,191.42,57.49,31.81,24.65,1.444,2.793,4.281,45.5,64.96,55.51,171.33,127.09,43.93,12.68,1860.0,838.8,11.164,18.64,9.179,1.13,21.06
ATH-3034,M,26,Atletismo,Velocidad,400m,Intermedio,184.99,81.73,23.88,10.87,8.89,72.85,42.42,87.25,93.9,190.2,58.78,33.76,31.92,1.496,2.66,3.936,35.65,61.34,50.59,158.65,114.6,52.07,12.85,1971.45,1075.88,12.311,19.443,10.701,6.42,21.75
ATH-3035,F,19,Atletismo,Velocidad,100m,Élite,183.43,87.77,26.09,7.27,6.38,81.39,45.33,88.7,92.09,190.9,59.54,36.37,19.75,1.385,2.681,3.632,48.31,80.63,51.8,168.66,105.68,38.35,10.02,1800.0,793.22,11.165,16.834,9.671,6.63,19.02
ATH-3036,M,22,Atletismo,Velocidad,100m,Intermedio,178.34,84.8,26.66,9.82,8.32,76.48,51.73,85.8,103.69,181.56,54.12,33.21,27.93,1.522,2.905,4.12,46.04,71.04,55.96,169.21,104.63,32.0,8.03,1800.0,604.71,11.311,19.026,10.386,10.25,20.27
ATH-3037,F,24,Atletismo,Velocidad,200m,Profesional,176.18,95.85,30.88,11.59,11.11,84.74,50.07,95.64,100.48,183.04,55.74,35.22,29.48,1.584,2.936,4.35,51.04,112.45,52.93,166.48,113.11,37.55,9.56,1800.0,771.5,11.441,17.843,8.873,3.72,16.81
ATH-3038,F,22,Atletismo,Velocidad,400m,Intermedio,187.7,79.52,22.57,11.62,9.24,70.28,42.71,88.37,105.26,190.88,55.93,37.78,31.26,1.49,2.947,4.168,53.67,108.53,52.83,171.64,92.62,34.77,7.95,1800.0,745.57,10.423,16.376,6.911,9.63,18.33
ATH-3039,M,21,Atletismo,Velocidad,200m,Amateur,183.46,78.84,23.42,6.96,5.49,73.35,45.14,87.81,97.5,187.22,63.21,35.98,20.02,1.461,2.794,3.788,50.46,108.51,58.31,164.8,94.19,40.91,9.43,1800.0,863.86,10.497,18.153,6.469,1.42,26.05
